epoch,Prec@5,Recall@5,NDCG@5,Nov@5,Gini-D
0,0.057302239095057,0.057302239095057,0.05773078829852601,1.952855930830406,0.10341624531346301
1,0.06908654218639601,0.06908654218639601,0.06894850586052001,1.819908013701801,0.11897334968546001
2,0.078236615789863,0.078236615789863,0.078787579263018,1.9418591294371481,0.09528828338157101
3,0.08374912837992701,0.08374912837992701,0.084533825102967,2.134280969166329,0.10518433050640301
4,0.08799876036256901,0.08799876036256901,0.089077138833135,2.23517413254862,0.12687107167570902
5,0.092600914232559,0.092600914232559,0.09374768774780301,2.309977679218002,0.15066479860196402
6,0.095281630123159,0.095281630123159,0.09652890935822,2.37781769703663,0.174483440301786
7,0.09787324707519901,0.09787324707519901,0.098991983223133,2.453571414371834,0.20174900969126103
8,0.0999147749283,0.0999147749283,0.10132095414606401,2.523914672170135,0.21652248002769903
9,0.10183233904079601,0.10183233904079601,0.10337772378495401,2.574978864151706,0.23494059603164902
10,0.102029906252386,0.102029906252386,0.10358480679929301,2.579336837321145,0.238129223952694
11,0.10223522119776501,0.10223522119776501,0.10379079240420001,2.582603268203182,0.24178630787217903
12,0.10222747346397701,0.10222747346397701,0.103859174532911,2.586268657143754,0.24413328648112603
13,0.102304950801855,0.102304950801855,0.10397332679858501,2.589004954813166,0.24283426859548302
14,0.10254900441617301,0.10254900441617301,0.10421899954229301,2.591897820610982,0.24503546546904603
15,0.102808553498066,0.102808553498066,0.10443486381035201,2.593345134636776,0.246275625194237
16,0.102727202293294,0.102727202293294,0.10443475906334201,2.595353307302159,0.24897576710224603
17,0.10287053536836901,0.10287053536836901,0.104660950544409,2.5970512253334572,0.25103416882289903
18,0.103006120709657,0.103006120709657,0.10480014491969201,2.5990116415034192,0.253018116490699
19,0.10318044471988401,0.10318044471988401,0.104992122236959,2.60023915888396,0.25198631160948803
20,0.10316107538541401,0.10316107538541401,0.10498457834781301,2.60023645106428,0.252120249193308
21,0.10319594018746,0.10319594018746,0.10503859703521201,2.600183559842747,0.251474920411622
22,0.10324630045708101,0.10324630045708101,0.10506303261817201,2.600038946662738,0.251535596484095
23,0.103257922057763,0.103257922057763,0.10506410383294401,2.599921041235869,0.25164606698046404
